Diametre nominale;H12;H13;H14
1;1.1;1.2;1.3
2;2.2;2.4;2.6
3;3.2;3.4;3.6
4;4.3;4.5;4.8
4;4.8;5.0;5.3
5;5.3;5.5;5.8
6;6.4;6.6;7.0
7;7.4;7.6;8.0
8;8.4;9.0;10.0
9;9.5;10.0;11.0
10;10.5;11.0;12.0
12;13.0;13.5;14.5
14;15.0;15.5;16.5
16;17.0;17.5;18.5
18;19.0;20.0;21.0
20;21.0;22.0;24.0
22;23.0;24.0;26.0
24;25.0;26.0;28.0
27;28.0;30.0;32.0
30;31.0;33.0;35.0
33;34.0;36.0;38.0
36;37.0;39.0;42.0
39;40.0;42.0;45.0
42;43.0;45.0;48.0
45;46.0;48.0;52.0
48;50.0;52.0;56.0
52;54.0;56.0;62.0
56;58.0;62.0;66.0
60;62.0;66.0;70.0
64;66.0;70.0;74.0
68;70.0;74.0;78.0
72;74.0;78.0;82.0
76;78.0;82.0;86.0
80;82.0;86.0;91.0
85;87.0;91.0;96.0
90;93.0;96.0;101.0
95;98.0;101.0;107.0
